Model; Launch; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Fillrate; Fillrate; Memory; Memory; Memory; Memory; API compliance; API compliance
Model; Launch; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MiB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL
3D Rage; April 1996[ 13]; 500; PCI; 40; 40; 1:0:1:1; 40; 40; 40; 0; 2; 0.32; EDO; 64; 5.0; None2
3D Rage II; September 1996; 500; AGP 1x (Rage IIc only), PCI; 60; 83 (66  MHz with EDO); 1:0:1:1; 60; 60; 60; 0; 2, 4, 8; 0.664; 64; 5.0; None2
Rage Pro; March 1997; 350; AGP 1x, AGP 2x, PCI; 75; 75; 1:0:1:1; 75; 75; 75; 0; EDO, SGRAM, SDR; 4, 8, 16; 0.6; 64; 
Rage XL[ 14] [ 15] [ 16] [ 17]; August 1998; 250; AGP 2x, PCI; 83; 125; 1:0:1:1; 83; 83; 83; 0; 6.0; 1.1; 8; 64; 1.0; 
Rage 128 VR; August 1998; 250; AGP 2x, PCI; 80; 120; 160; 160; 160; 8, 32; 0; 6.0; SDR; 0.96; 64; 
Rage 128 GL; August 1998; 250; AGP 2x, PCI; 2:0:2:2; 103; 103; 206; 206; 206; 0; 6.0; 1.648; 
Rage 128 Pro; August 1999; 250; AGP 4x, PCI; 2:0:2:2; 125; 16, 32; 143; SGRAM, SDR; 128; 0; 6.0; 250; 250; 250; 2.288; 
Rage 128 Ultra; August 1999; 250; AGP 4x, PCI; 2:0:2:2; 130; 130; 260; 260; 128; 0; 6.0; 260; 16, 32, 64; 2.088; 
Rage Fury MAXX; October 1999; 250; AGP 4x; 125; 143; 2:0:2:2 x2; 500; SDR; 500; 0; 6.0; 500; 32 x2; 4.576; 128 x2; 
