Model: Mobility Radeon; Launch; Model Number; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Memory; Memory; Memory; Memory; API compliance (version); API compliance (version); Processing power (GFLOPS); TDP (Watts)
Model: Mobility Radeon; Launch; Model Number; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Processing power (GFLOPS); TDP (Watts)
Mobility Radeon HD 530v[ 139]; May 5, 2010; M92; RV710; 55; PCIe x16 2.0; 500; 600; 80:8:4; 2; 4; 1024; 9.6; DDR2 DDR3 GDDR3; 64; 10.1; 3.3; 80; 10
Mobility Radeon HD 545v[ 140]; May 5, 2010; M92; RV710; 55; PCIe x16 2.0; 720; 400 800; 80:8:4; 2.88; 5.76; 512 1024; 6.4 12.8; DDR2 DDR3 GDDR3; 64; 10.1; 3.3; 115.2; 15
Mobility Radeon HD 550v[ 141]; May 5, 2010; M96; RV730; 55; PCIe x16 2.0; 450; 600; 3.6; 14.4; 19.2; 128; 288; DDR2 DDR3 GDDR3; 10; 10.1; 3.3; 
Mobility Radeon HD 560v[ 142]; May 5, 2010; M96; RV730; 55; PCIe x16 2.0; 320:32:8; 550; 4.4; 1024; 17.6; 128; 25.6; DDR2 DDR3 GDDR3; 352; 10.1; 3.3; 15; 
Mobility Radeon HD 565v[ 143]; May 5, 2010; 800; RV730; 55; PCIe x16 2.0; 320:32:8; M96-XT; 675; 1024; 5.4; 128; 21.6; DDR2 DDR3 GDDR3; 25.6; 10.1; 3.3; 432; 20
Mobility Radeon HD 5145; January 7, 2010; M92; RV710; 55; PCIe x16 2.0; 720; 80:8:4; 2.88; 1024; 5.76; 14.4; 64; 115.2; 15; 10.1; 3.3; 
Mobility Radeon HD 5165; January 7, 2010; M96; RV730; 55; PCIe x16 2.0; 900; 600; 320:32:8; 1024; 4.8; DDR3 GDDR3; 19.2; 28.8; 128; 10.1; 3.3; 384; 35
Mobility Radeon HD 5430; January 7, 2010; Park LP; 40; PCIe x16 2.1; 500 550; 800; 80:8:4; 2.0 2.2; 1024; 4.0 4.4; DDR3 GDDR3; 64; 11; 4.4; 80 88; 7; 
Mobility Radeon HD 5450; January 7, 2010; Cedar (RV 810); 40; PCIe x16 2.1; Park PRO; 800; 80:8:4; 675; 1024; 12.8; DDR3 GDDR3; 64; 11; 4.4; 2.7; 5.4; 108; 11
Mobility Radeon HD 5470; January 7, 2010; Cedar (RV 810); 40; PCIe x16 2.1; Park XT; 800; 80:8:4; 750; 3; 6; 1024 512; 64; 11; 4.4; 12.8 25.6; DDR3 GDDR3 GDDR5; 120; 13 15
Mobility Radeon HD 5650; January 7, 2010; Madison PRO; 40; PCIe x16 2.1; 450 650; 800; 3.6 5.2; 9.0 13.0; 25.6; DDR3 GDDR3; 128; 360 520; 11; 4.4; 15 19; 
Mobility Radeon HD 5730; January 7, 2010; Redwood (RV 830); 40; PCIe x16 2.1; 400:20:8; 800; Madison LP; 1024; 25.6; DDR3 GDDR3; 128; 650; 11; 4.4; 5.2; 13; 520; 26
Mobility Radeon HD 5750; January 7, 2010; Redwood (RV 830); 40; PCIe x16 2.1; 400:20:8; 800; Madison PRO; 1024; 550; 4.4; 128; 11; 11; 4.4; 440; 25; 
Mobility Radeon HD 5770; January 7, 2010; Redwood (RV 830); 40; Madison XT; 400:20:8; 800; GDDR5; 1024; PCIe x16 2.0/2.1; 650; 128; 5.2; 11; 4.4; 13; 520; 30; 
Mobility Radeon HD 5830; January 7, 2010; Broadway LP; 40; PCIe x16 2.1; 500; 800; 800:40:16; 1024; 8; 20; 128; 25.6; 11; 4.4; 800; 24; 
Mobility Radeon HD 5850; January 7, 2010; Juniper (RV 840); 40; PCIe x16 2.1; Broadway PRO; 625 500 625; 900 1000; 10 8 10; 25 20 25; DDR3 GDDR3; 128; 2048 1024; 11; 4.4; 28.8 64 64; 1000 800 1000; 31 30 39; 
Mobility Radeon HD 5870; January 7, 2010; Juniper (RV 840); 40; PCIe x16 2.1; Broadway XT; 700; 1000; 11.2; 28; 1024; 128; 64; 11; 4.4; GDDR5; 1120; 50; 
Model; Launch; Model Number; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Processing power (GFLOPS); TDP (Watts)
Model; Launch; Model Number; Code name; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Processing power (GFLOPS); TDP (Watts)
