Vehicle; Origin; Manufacturer; Mass to ... (kg); Mass to ... (kg); Mass to ... (kg); Launches (+  suborbital); Date of flight; Date of flight
Vehicle; Origin; Manufacturer; LEO; GTO; Other; Launches (+  suborbital); First; Last
Atlas IIAS;   United States; Lockheed Martin; 8,618[ 200]; 3,833; 2,680 to HCO[ 200]; 30[ 200]; 1993; 2004
Atlas IIIA;   United States; Lockheed Martin; 8,686[ 200]; 4,060; 2,970 to HCO[ 200]; 2[ 200]; 2000; 2004
Atlas IIIB/DEC;   United States; Lockheed Martin; 10,759[ 200]; 4,609[ 200]; ; 1[ 200]; 2002; 2002
Atlas IIIB/SEC;   United States; Lockheed Martin; 10,218[ 202]; 4,193[ 200]; ; 3[ 200]; 2003; 2005
Black Arrow;   United Kingdom; RAE; 73[ 203]; ; ; 2 (+2); 1969[ note 33]; 1971
Commercial Titan III;   United States; Martin Marietta; 13,100[ 204]; ; ; 4; 1990; 1992
Delta 0300;   United States; McDonnell Douglas; ; 340[ 205]; 747 to SSO[ 206]; 3[ 207]; 1972; 1973[ 208]
Delta 0900;   United States; McDonnell Douglas; 1,300[ 209]; ; 818 to SSO[ 207]; 2[ 207]; 1972; 1972
Delta 1410;   United States; McDonnell Douglas; 340[ 210]; ; ; 1[ 207]; 1975; 1975
Delta 1604;   United States; McDonnell Douglas; 390[ 211]; ; ; 2[ 207]; 1972; 1973
Delta 1900;   United States; McDonnell Douglas; 1,800[ 207]; ; ; 1[ 207]; 1973; 1973
Delta 1910;   United States; McDonnell Douglas; 1,066[ 212]; ; ; 1[ 207]; 1975; 1975
Delta 1913;   United States; McDonnell Douglas; 328[ 213]; ; ; 1[ 207]; 1973; 1973
Delta 1914;   United States; McDonnell Douglas; ; 680[ 214]; ; 2[ 207]; 1972; 1973
Delta 2310;   United States; McDonnell Douglas; 336[ 215]; ; ; 3[ 207]; 1974; 1981
Delta 2313;   United States; McDonnell Douglas; ; ; 243 to GEO[ 216]; 3[ 207]; 1974; 1977
Delta 2910;   United States; McDonnell Douglas; 1,887[ 207]; ; ; 6[ 207]; 1975; 1978
Delta 2913;   United States; McDonnell Douglas; 2,000[ 217]; 700[ 217]; ; 6[ 207]; 1975; 1976
Delta 2914;   United States; McDonnell Douglas; ; 724[ 207]; ; 30[ 207]; 1974; 1979
Delta 3910;   United States; McDonnell Douglas; 2,494[ 207]; 1,154 with PAM-D; ; 10[ 207]; 1980; 1988
Delta 3913;   United States; McDonnell Douglas; 816[ 218]; ; ; 1[ 207]; 1981; 1981
Delta 3914;   United States; McDonnell Douglas; ; 954[ 207]; ; 13[ 207]; 1975; 1987
Delta 3920;   United States; McDonnell Douglas; 3,452[ 207]; 1,284 with PAM-D; ; 10[ 207]; 1982; 1989
Delta 3924;   United States; McDonnell Douglas; ; 1,104[ 207]; ; 4[ 207]; 1982; 1984
Delta 4925;   United States; McDonnell Douglas; 3,400[ 219]; 1,312[ 207]; ; 2[ 207]; 1989; 1990
Delta 5920;   United States; McDonnell Douglas; 3,848[ 220]; ; ; 1[ 207]; 1989; 1989
Delta II 6920;   United States; McDonnell Douglas; 3,983[ 207]; ; ; 3[ 207]; 1990; 1992
Delta II 6925;   United States; McDonnell Douglas; ; 1,447[ 207]; ; 14[ 207]; 1989; 1992
Delta II 7320;   United States; Boeing IDS / ULA; 2,865[ 207]; ; 1,651 to SSO; 12[ 207]; 1999; 2015
Delta II 7326;   United States; Boeing IDS; ; 934[ 207]; 636 to TLI 629 to HCO; 3[ 207]; 1998; 2001
Delta II 7420;   United States; ULA; 3,185[ 207]; ; 1,966 to SSO; 14[ 207]; 1998; 2018
Delta II 7425;   United States; Boeing IDS; ; 1,100[ 207]; 804 to HCO; 4[ 207]; 1998; 2002
Delta II 7426;   United States; Boeing IDS; ; 1,058[ 207]; 734 to TLI 711 to HCO; 1[ 207]; 1999; 1999
Delta II 7920;   United States; Boeing IDS / ULA; 5,030[ 207]; ; 3,123 to SSO; 29[ 207]; 1998; 2017
Delta II 7925;   United States; Boeing IDS / ULA; ; 1,819[ 207]; 1,177 to TLI 1,265 to HCO; 69[ 207]; 1990; 2009
Delta II-H 7920H;   United States; Boeing IDS / ULA; 6,097[ 207]; ; ; 3[ 207]; 2003; 2011
Delta II-H 7925H;   United States; Boeing IDS / ULA; ; 2,171; 1,508 to HCO[ 207]; 3[ 207]; 2003; 2007
Delta III 8930;   United States; Boeing IDS; 8,292[ 207]; 3,810; ; 3[ 207]; 1998; 2000
Delta IV M;   United States; Boeing IDS; 9,440[ 27]; 4,440; 7,690 to polar; 3[ 28]; 2003; 2006
Delta IV M+(4,2);   United States; ULA; 13,140[ 27]; 6,390; 10,250 to polar; 14[ 28]; 2002; 2019
Delta IV M+(5,2);   United States; ULA; 11,470[ 27]; 5,490; 9,600 to polar; 3[ 28]; 2012; 2018
Delta IV M+(5,4);   United States; ULA; 14,140[ 27]; 7,300; 11,600 to polar; 8[ 28]; 2009; 2019
Diamant;   France; SEREB; 107[ 221] [ 222]; ; ; 12; 1965; 1975
Dnepr;   Ukraine; Yuzhmash; 3,700[ 223]; ; ; 22[ 223]; 1999; 2015[ 224]
Energia[ note 34];   Soviet Union; NPO Energia; 100,000[ 225]; ; 20,000 to GEO[ 225] 32,000 to TLI[ 225]; 1 (failed to orbit)[ 226]; 1987; 1987
Energia-Buran;   Soviet Union; NPO Energia (Launcher) NPO Molniya (Orbiter); 30,000[ 225] [ note 35]; ; ; 1; 1988; 1988
Falcon 1;   United States; SpaceX; 470[ 227]; ; ; 5[ 227]; 2006; 2009
Falcon 9 v1.0;   United States; SpaceX; 10,450[ 228]; 4,540[ 228]; ; 5[ 229]; 2010; 2013
Falcon 9 v1.1;   United States; SpaceX; 13,150[ note 36] [ 230]; 4,850[ 230]; ; 15[ 229]; 2013; 2016
Feng Bao 1;   China; Shanghai Bureau No.2; 2,500[ 231]; ; ; 8 (+3)[ 232]; 1972; 1981
GSLV Mk.I(a);   India; ISRO; 5,000[ 50]; 1,540[ 233]; ; 1[ 233]; 2001; 2001
GSLV Mk.I(b);   India; ISRO; 5,000[ 50]; 2,150[ 233]; ; 4[ 233]; 2003; 2007
GSLV Mk.I(c);   India; ISRO; 5,000[ 50]; ; ; 1[ 233]; 2010; 2010
H-I;   Japan   United States; Mitsubishi; 1,400[ 234]; ; ; 9; 1986; 1992
H-II / IIS;   Japan; Mitsubishi; 10,060[ 235]; 4,000[ 236]; ; 7[ 236]; 1994; 1999
H-IIA 2022;   Japan; Mitsubishi; ; 4,500[ 57]; ; 3[ 57]; 2005; 2007
H-IIA 2024;   Japan; Mitsubishi; 11,000[ 237]; 5,000[ 57]; ; 7[ 57]; 2002; 2008
J-I;   Japan; Nissan Motors[ 238]; 1,000[ 239]; ; ; 0 (+1); 1996; 1996
Kaituozhe-1;   China; CALT; 100[ 240]; ; ; 2; 2002; 2003
Kosmos-3M;   Soviet Union   Russia; NPO Polyot; 1,500[ 241]; ; ; 442[ 242]; 1967; 2010
Lambda 4S;   Japan; Nissan Motors[ 238]; 26[ 243]; ; ; 5; 1966; 1970
Long March 1;   China; CALT; 300[ 244]; ; ; 2[ 245]; 1970; 1971
Long March 1D;   China; CALT; 740[ 246]; ; ; 0 (+3)[ 245]; 1995[ note 37]; 2002
Long March 2A;   China; CALT; 2,000[ 247]; ; ; 4[ 77]; 1974; 1978
Long March 2E;   China; CALT; 9,200[ 77]; ; ; 7[ 77]; 1990; 1995
Long March 3;   China; CALT; 5,000[ 79]; ; ; 13[ 79]; 1984; 2000
