Model; Launch; Code name; Fab (nm); Bus interface; Core config1; Clock speed; Clock speed; Clock speed; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Supported API version; Supported API version; Processing power (GFLOPS); TBP (Watts); Notes
Model; Launch; Code name; Fab (nm); Bus interface; Core config1; Core (MHz); Shader (MHz); Memory (MHz); Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Processing power (GFLOPS); TBP (Watts); Notes
GeForce G210M; June 15, 2009; GT218; 40; PCIe 2.0 ×16; 16:8:4; 625; 1500; 1600; 2.5; 5; 512; 12.8; GDDR3; 64; 10.1; 3.3; 72; 14; Lower clocked versions of the GT218 core is also known as Nvidia ION 2
GeForce GT 220M; 2009; G96b; 55; PCIe 2.0 ×16; 32:16:8; 1250; 1000 1600; 4; 8; 1024; 16 25.6; DDR2 GDDR3; 128; 120; 10.1; 3.3; rebranded 9600M GT @55  nm node shrink; 14; 
GeForce GT 230M; June 15, 2009; GT216; 40; PCIe 2.0 ×16; 500; 1100; 1600; 4; 8; 1024; GDDR3; 158; 128; 23; 10.1; 3.3; 
GeForce GT 240M; June 15, 2009; GT216; 40; PCIe 2.0 ×16; 48:16:8; 550; 1600; 1210; 25.6; 1024; GDDR3; 4.4; 128; 23; 10.1; 3.3; 8.8; 174; 
GeForce GTS 250M; June 15, 2009; GT215; 40; PCIe 2.0 ×16; 500; 1250; 3200; 4; 16; 1024; 51.2; 360; 128; 28; 10.1; 3.3; 
GeForce GTS 260M; June 15, 2009; 96:32:8; 40; PCIe 2.0 ×16; GT215; 3600; 4.4; 17.6; GDDR5; 1024; 57.6; 396; 128; 38; 10.1; 3.3; 
GeForce GTX 260M; March 3, 2009; 550; PCIe 2.0 ×16; 1375; 112:56:16; 1900; 8.8; 30.8; 1024; 60.8; GDDR3; 256; 462; 10.1; 3.3; 65; 
GeForce GTX 280M; March 3, 2009; 128:64:16; G92b; PCIe 2.0 ×16; 55; 585; 1900; 1463; 9.36; 1024; 60.8; GDDR3; 256; 37.44; 10.1; 3.3; 562; 
GeForce GTX 285M; February 2010; 128:64:16; G92b; PCIe 2.0 ×16; 55; 600; 1500; 75; 2000; 1024; 9.6; GDDR3; 256; 38.4; 10.1; 3.3; 64.0; 576; Higher Clocked Version of GTX280M with new memory
