Atom (ULV); Atom (ULV); ; Feature size; ; x86; x86; ; ; ; ; ; 
Microarchi.; Step; ; Feature size; ; Microarchi.; Step; ; ; ; ; ; 
; ; ; 600 nm; ; Pentium Pro (133 MHz); ; ; ; ; ; 
; ; ; P6; ; 500 nm; Pentium Pro (150 MHz); ; ; ; ; ; 
; ; ; P6; ; Pentium Pro (166–200 MHz); ; ; ; ; ; 
; ; ; P6; ; Klamath; ; ; ; ; ; 
; ; ; P6; ; Deschutes; ; ; ; ; ; 
; ; ; P6; ; Katmai; NetBurst; 
; ; ; ; ; ; ; 180 nm; Coppermine; Willamette; 
; ; ; ; ; ; ; Tualatin; 
; ; ; P6; ; Banias; ; NetBurst(HT); ; NetBurst(×2); 
; ; ; P6; ; Prescott; ⇨; Prescott‑2M; ⇨; Smithfield; 
; ; ; P6; ; Tejas; →; ⇩; →; Cedarmill (Tejas); 
; ; ; P6; ; Yonah; Nehalem (NetBurst); ; Cedar Mill; ⇨; Presler; 
; ; ; Merom; ; 4 cores on mainstream desktop, DDR3 introduced; 4 cores on mainstream desktop, DDR3 introduced; 4 cores on mainstream desktop, DDR3 introduced; 4 cores on mainstream desktop, DDR3 introduced; 
Core; ; 45 nm; ; Penryn; ; ; ; ; ; 
Bonnell; ; 45 nm; ; Nehalem; HT reintroduced, integrated MC, PCH L3-cache introduced, 256KiB L2-cache/core; HT reintroduced, integrated MC, PCH L3-cache introduced, 256KiB L2-cache/core; HT reintroduced, integrated MC, PCH L3-cache introduced, 256KiB L2-cache/core; 
Bonnell; ; Westmere; ; introduced GPU on same package and AES-NI; introduced GPU on same package and AES-NI; introduced GPU on same package and AES-NI; introduced GPU on same package and AES-NI; introduced GPU on same package and AES-NI; 
Bonnell; ; Sandy Bridge; ; on-die ring bus, no more non-UEFI motherboards; on-die ring bus, no more non-UEFI motherboards; on-die ring bus, no more non-UEFI motherboards; on-die ring bus, no more non-UEFI motherboards; 
Sandy Bridge; ; 22 nm; ; Ivy Bridge; ; ; ; ; ; 
Silvermont; ; 22 nm; ; Haswell; FIVR; FIVR; FIVR; 
Silvermont; ; Broadwell; ; ; ; ; ; ; 
Silvermont; ; Skylake; ; DDR4 introduced on mainstream desktop; DDR4 introduced on mainstream desktop; DDR4 introduced on mainstream desktop; DDR4 introduced on mainstream desktop; 
Skylake; ; Goldmont; ; Kaby Lake; ; ; ; ; ; 
Coffee Lake; Skylake; ; Goldmont; ; 6 cores on mainstream desktop; 6 cores on mainstream desktop; 
Amber Lake; Skylake; ; Goldmont; ; mobile-only; mobile-only; 
Skylake; ; Whiskey Lake; ; mobile-only; mobile-only; mobile-only; mobile-only; 
Coffee Lake Refresh; Skylake; ; 8 cores on mainstream desktop; ; 8 cores on mainstream desktop; 8 cores on mainstream desktop; 
Comet Lake; Skylake; ; 10 cores on mainstream desktop; ; 10 cores on mainstream desktop; 10 cores on mainstream desktop; 
Willow Cove; Goldmont; ; Rocket Lake; ; ; ; ; 
Tremont; Tremont; ; Palm Cove; ; Cannon Lake; mobile-only; mobile-only; mobile-only; mobile-only; mobile-only; 
Tremont; Tremont; ; Sunny Cove; ; Ice Lake; 512KiB L2-cache/core; 512KiB L2-cache/core; 
Tremont; Gracemont; ; Willow Cove; ; Tiger Lake; Xe graphics engine; Xe graphics engine; Xe graphics engine; Xe graphics engine; 
Tremont; Gracemont; ; Golden Cove; ; Alder Lake; hybrid; hybrid; 
