Profile; Element; Trident; Gecko; WebKit[ w 3]; Blink; Presto; KSVG; Prince; Amaya; Adobe SVG Viewer; Batik; Renesis; LeonLabs
Basic; feImage; 6.0[ t 3]; 1.9; Nightly build[ w 7]; ?; 2.0; ?; No; ?; 1.0; Yes; No; 1.0
Basic; feMerge; 6.0[ t 3]; 1.9; Nightly build[ w 7]; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Basic; feOffset; 6.0[ t 3]; 1.9; Nightly build[ w 7]; ?; 2.0; ?; No; ?; 1.0; Yes; No; 1.0
Basic; feTile; 6.0[ t 3]; 1.9; Nightly build[ w 7]; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; filter; 6.0[ t 3]; 1.9; Nightly build[ w 7]; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; feConvolveMatrix; 6.0[ t 3]; 1.9; Nightly build[ w 8]; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; feDiffuseLighting; 6.0[ t 3]; 1.9; Nightly build[ w 9]; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; feDisplacementMap; 6.0[ t 3]; 1.9; ?; ?; 2.0; ?; No; ; 1.0; Yes; No; 
Full; Nightly build[ w 7]; 6.0[ t 3]; 1.9; feMergeNode; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; Nightly build[ w 7]; 6.0[ t 3]; 1.9; feMorphology; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; feSpecularLighting; 6.0[ t 3]; 1.9; Nightly build[ w 10]; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; feTurbulence; 6.0[ t 3]; 1.9; Nightly build[ w 11]; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; feDistantLight; 6.0[ t 3]; 1.9; ?; ?; 2.0; ?; No; ; 1.0; Yes; No; 
Full; No; 6.0[ t 3]; 1.9; fePointLight; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; No; 6.0[ t 3]; 1.9; feSpotLight; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; feFuncR; 6.0[ t 3]; 1.9; ?; ?; 2.0; ?; No; ; 1.0; Yes; No; 
Full; Nightly build[ w 7]; 6.0[ t 3]; 1.9; feFuncG; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; Nightly build[ w 7]; 6.0[ t 3]; 1.9; feFuncB; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Full; Nightly build[ w 7]; 6.0[ t 3]; 1.9; feFuncA; ?; 2.0; ?; No; ?; 1.0; Yes; No; 
Profile; Element; Trident; Gecko; WebKit; Blink; Presto; KSVG; Prince XML; Amaya; Adobe SVG Viewer; Batik; Renesis; LeonLabs
Cursor Module; Cursor Module; Cursor Module; Cursor Module; Cursor Module; Cursor Module; Cursor Module; Cursor Module; Cursor Module; Cursor Module; Cursor Module; Cursor Module; 
Full; cursor; No[ t 4]; No[ g 10]; Partial; ?; No; ?; ?; ?; No; Yes; 0.6; 
Hyperlinking Module; Hyperlinking Module; Hyperlinking Module; Hyperlinking Module; Hyperlinking Module; Hyperlinking Module; Hyperlinking Module; Hyperlinking Module; Hyperlinking Module; Hyperlinking Module; Hyperlinking Module; Hyperlinking Module; 
Tiny; a; Yes; 1.8; 522; ?; 1.0; Yes; 5.1; 8.2; 1.0; Yes; 0.6; 1.0
View Module; View Module; View Module; View Module; View Module; View Module; View Module; View Module; View Module; View Module; View Module; View Module; 
Basic; view; No; 15.0[ g 11]; Partial; ?; 2.0; ?; ?; ?; 3.0; Yes; No; 1.0
Scripting Module; Scripting Module; Scripting Module; Scripting Module; Scripting Module; Scripting Module; Scripting Module; Scripting Module; Scripting Module; Scripting Module; Scripting Module; Scripting Module; 
Tiny; script; Yes; 1.8; 522; ?; 2.0; ?; ?; ?; 1.0; Yes; 0.5; 
Animation Module; Animation Module; Animation Module; Animation Module; Animation Module; Animation Module; Animation Module; Animation Module; Animation Module; Animation Module; Animation Module; Animation Module; 
Tiny; animate; No; 2.0[ g 12]; No; ?; 2.0; Yes; No; Yes; 1.0; Yes; No; 1.0
Tiny; set; No; 2.0[ g 12]; ; ?; 2.0; Yes; No; Yes; 1.0; Yes; No; 
Tiny; Partial; No; animateMotion; 2.0[ g 13]; ?; 2.0; 1.0; No; Yes; 1.0; Yes; No; 
Tiny; Partial; No; No; animateTransform; ?; 2.0; 2.0[ g 12]; No; Yes; 1.0; Yes; No; 1.0
Tiny; Partial; No; animateColor (deprecated); No[ g 14]; ?; 2.0; Yes; No; Yes; 1.0; Yes; No; 
Tiny; mpath; No; 2.0[ g 13]; 522; ?; 2.0; ?; No; ?; 2.0; Yes; No; 
Font Module; Font Module; Font Module; Font Module; Font Module; Font Module; Font Module; Font Module; Font Module; Font Module; Font Module; Font Module; 
Tiny; font; No; No[ g 15]; Yes; ?; 2.0; ?; ?; ?; 2.0; Yes; 1.0; 1.0
Tiny; font-face; No; No[ g 15]; Yes; ?; ?; ?; ?; Dropped[ note 5]; 2.0; Yes; 1.0
Tiny; 1.0; No; No[ g 15]; Yes; ?; glyph; ?; ?; ?; 2.0; Yes; 1.0
Tiny; 1.0; No; No[ g 15]; Yes; ?; missing-glyph; ?; ?; ?; 2.0; Yes; 1.0
Full; hkern; No; No[ g 15]; Nightly build[ w 12]; ?; ?; ?; ?; 2.0; Yes; 1.0
Full; vkern; No; No[ g 15]; 2.0; ?; Nightly build[ w 13]; ?; No; ?; 2.0; Yes; ?; 1.0
Full; font-face-src; No; No[ g 15]; No; ?; ?; ?; No; ?; Yes; 1.0
Full; Yes; No; No[ g 15]; font-face-uri; ?; No; 2.0; No; ?; ?; Yes; ?; 1.0
Full; Yes; No; No[ g 15]; font-face-format; ?; No; ?; No; ?; ?; No; 1.0
Full; Yes; No; No[ g 15]; font-face-name; ?; No; ?; No; ?; ?; Yes; 1.0
Extensibility Module; Extensibility Module; Extensibility Module; Extensibility Module; Extensibility Module; Extensibility Module; Extensibility Module; Extensibility Module; Extensibility Module; Extensibility Module; Extensibility Module; Extensibility Module; 
Full; foreignObject; No; 1.9; 522; ?; 2.0; ?; No; 7.2; No; No; No; No
Profile; Element; Trident; Gecko; WebKit; Blink; Presto; KSVG; Prince XML; Amaya; Adobe SVG Viewer; Batik; Renesis; LeonLabs
