Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); SM count; Core config1,3; Clock rate; Clock rate; Clock rate; Fillrate; Fillrate; Memory configuration; Memory configuration; Memory configuration; Memory configuration; Supported API version; Supported API version; Supported API version; Supported API version; Processing power (GFLOPS)2; Processing power (GFLOPS)2; TDP (Watts)4; Release Price (USD)
Model; Launch; Code name; Fab (nm); Transistors (million); Die size (mm2); SM count; Core config1,3; Core (MHz); Shader (MHz); Memory (MHz); Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); DRAM type; Bus width (bit); Vulkan; Direct3D; OpenGL; OpenCL5; Single precision; Double precision; TDP (Watts)4; Release Price (USD)
GeForce 4057; September 16, 2011; GT216 GT218; 40 nm; 486 260; 100 57; 1; 48:16:8 16:8:4; 475 589; 1100 1402; 800 790; 3.8 2.36; 7.6 4.71; 512 1024; 12.6; DDR3; 64; n/a[ 23]; 10.1; 3.3; 1.1; 105.6 44.86; Unknown; 30.5; OEM
GeForce GT 420; September 3, 2010; GF108; TSMC 40  nm; 585; 116; 1; 48:4:4; 1400; 1800; 2.8; 2.8; 2048; 28.8; GDDR3; 128; 12 FL 11_1; n/a[ 23]; 4.6; 134.4; 1.1; Unknown; 50; OEM
GeForce GT 430; October 11, 2010; GF108; TSMC 40  nm; 585; 116; 1600 1800; 700; 1400; 2048; 2.8; 25.6 28.8; 1.2; 268.8; GDDR3; 128; 12 FL 11_1; n/a[ 23]; 4.6; Unknown; 60; OEM
GeForce GT 430; October 11, 2010; GF108; TSMC 40  nm; 585; 116; 1800; 700; 1400; 28.8; 2.8; 128; $79; GDDR3; 12 FL 11_1; n/a[ 23]; 4.6; 
GeForce GT 430; October 11, 2010; GF108; TSMC 40  nm; 585; 116; 1.1; 700; 1400; Unknown; 2.8; 49; $79; 1300; GDDR3; 10.4; 12 FL 11_1; n/a[ 23]; 4.6; 64; 
GeForce GT 440; February 1, 2011; GF108; TSMC 40  nm; 585; 116; 1.1; 810; 1620; 1800 3200; 3.24; 12.96; 512 1024 2048; 28.8 51.2; GDDR3 GDDR5; 128; 12 FL 11_1; n/a[ 23]; 4.6; 311.04; Unknown; 65; $100; 
GeForce GT 440; October 11, 2010; GF106; TSMC 40  nm; 1170; 1.1; 3; 144:24:24; 594; 1189; 1800; 14.26; 14.26; 1536 3072; 43.2; 12 FL 11_1; n/a[ 23]; 4.6; GDDR3; 342.43; Unknown; 56; 
October 11, 2010; GF106; TSMC 40  nm; 1170; 790; 1.1; 3; 144:24:24; 1580; 4000; 18.96; 18.96; 1536; 96; 455.04; 12 FL 11_1; n/a[ 23]; 4.6; Unknown; 106; OEM; 
September 13, 2010 March 15, 2011; GeForce GTS 450; GF106-250 GF116-200; TSMC 40  nm; 1170; 4; 1.1; 192:32:16; 783; GDDR5; 1566; 3608; 12.53; 25.06; 512 1024; 57.73; 12 FL 11_1; n/a[ 23]; 4.6; 128; 601.34; Unknown; 106; $129; 
