Model; Release Date; PCI Express (PCIe); PCI Express (PCIe); PCI Express (PCIe); USB: 3.2  Gen  2 + 3.2  Gen  1 + 2.0; SATA + SATA Express[ a]; RAID; StoreMI; PBO; Processor overclocking; TDP; Market segment; CPU support[ 15]; CPU support[ 15]; CPU support[ 15]
Model; Release Date; Chipset PCIe lanes[ b]; CrossFire; SLI; USB: 3.2  Gen  2 + 3.2  Gen  1 + 2.0; SATA + SATA Express[ a]; RAID; StoreMI; PBO; Processor overclocking; TDP; Market segment; Zen; Zen+; Zen  2
X570; 2019 July[ 16]; PCIe 4.0 ×16; Yes; Yes; 8 + 0 + 4; 12; 0, 1, 10; Yes; Yes; Yes; ~11  W[ 17] [ 18]; Performance / Enthusiast; No; Yes; Yes
X470; 2018 March[ 19]; PCIe 2.0 ×8; Yes; Yes; 4 + 2; ~5  W[ 20]; 0, 1, 10; Yes; Yes; Yes; Performance / Enthusiast; Yes; Yes
X370; 2017 February[ 21]; PCIe 2.0 ×8; Yes; Yes; 4 + 2; ~5  W[ 20]; 0, 1, 10; Yes; No; Yes; No; Performance / Enthusiast; Beta[ c]; Yes; 
B450; 2018 March[ 19]; PCIe 2.0 ×6; Yes; No; 2 + 2 + 6; ~5  W[ 20]; 0, 1, 10; Yes; Yes; Yes; Yes; Yes; Yes; 
B350; 2017 February[ 21]; PCIe 2.0 ×6; Yes; No; 2 + 2 + 6; ~5  W[ 20]; 0, 1, 10; Yes; Beta[ c]; Yes; Mainstream; Yes; 
A320; 2017 February[ 21]; PCIe 2.0 ×4; No; No; No; ~5  W[ 20]; 0, 1, 10; Yes; 1 + 2 + 6; No; Entry level; No/Beta, depending on mainboard manufacturer's BIOS updates; Yes; 
