; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; margin-inline-start
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; margin-inline-end
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; offset-block-start
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; offset-block-end
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; offset-inline-start
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; offset-inline-end
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; padding-block-start
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; padding-block-end
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; padding-inline-start
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; padding-inline-end
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-block-start-width
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-block-end-width
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-inline-start-width
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-inline-end-width
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-block-start-style
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-block-end-style
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-inline-start-style
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-inline-end-style
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-block-start-color
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-block-end-color
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-inline-start-color
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-inline-end-color
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-block-start
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-block-end
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-inline-start
Early ideas for css- logical- props; No; No; 41.0[ g 56]; No; No; No; border-inline-end
Early ideas for css- logical- props; No; No; background-image-transform; No; No; No; 
Early ideas for css- logical- props; No; No; border-image-transform; No; No; No; 
Will Change; Will Change; Will Change; Will Change; Will Change; Will Change; Will Change; Will Change
css-will- change-1; will-change; No; No; 36.0; No; No; No
CSSOM View; CSSOM View; CSSOM View; CSSOM View; CSSOM View; CSSOM View; CSSOM View; CSSOM View
cssom- view; scroll-behavior (optional[ 2] ); No; No; 36.0; No; No; No
Scroll Snap Points; Scroll Snap Points; Scroll Snap Points; Scroll Snap Points; Scroll Snap Points; Scroll Snap Points; Scroll Snap Points; Scroll Snap Points
Early ideas for css- snappoints; scroll-snap-type; 10.0; 12; 39.0[ g 57]; No; No; No
Early ideas for css- snappoints; scroll-snap-points-x; 10.0; 12; 39.0[ g 57]; No; No; No
Early ideas for css- snappoints; scroll-snap-points-y; 10.0; 12; 39.0[ g 57]; No; No; No
Early ideas for css- snappoints; scroll-snap-destination; 10.0; 12; 39.0[ g 57]; No; No; No
Early ideas for css- snappoints; scroll-snap-coordinate; 10.0; 12; 39.0[ g 57]; No; No; No
; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
