; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
CSS2; background-image; 8.0; 12; 1.0; 85; Yes; 1.0
CSS2; background-position; 8.0; 12; 1.0; 85; Yes; 1.0
CSS2; background-repeat; 4.0; 12; 1.0; 85; Yes; 1.0
css- background-3; background (multiple); 9.0[ t 1]; 12; 1.9.2; 312; 3.5; 2.5
css- background-3; background-clip; 9.0[ t 1]; 12; Experimental; 2.5
css- background-3; 2.0[ g 21]; 9.0[ t 1]; 12; Experimental; background-origin; 2.5
css- background-3; 2.0[ g 21]; 9.0[ t 1]; 12; Experimental; background-size; Yes[ w 17]; 2.5
Early draft for css- backgrounds- 4; background-position-x; 8.0[ t 15]; 12; No; Experimental; No; No
Early draft for css- backgrounds- 4; background-position-y; 8.0[ t 15]; 12; No; Experimental; No; No
Fonts; Fonts; Fonts; Fonts; Fonts; Fonts; Fonts; Fonts
CSS2; font; 4.0; 12; 1.0; 85; Yes; Incorrect
CSS2; font-family; 4.0; 12; 1.0; 85; Yes; 
CSS2; font-size; 3.0; 12; 1.0; 1.0; 85; Yes
CSS2; font-style; 4.0; 12; 1.0; 1.0; 85; Yes
CSS2; font-variant; 4.0; 12; 1.0; 1.0; 125; Yes
CSS2; font-weight; 8.0; 12; Partial; Partial; Yes; Incorrect
css-fonts-3; font-size-adjust; 10.0[ t 16]; 12; 1.9; No[ w 18]; No; No
css-fonts-3; font-stretch; 9.0[ t 1]; 12; 9.0[ g 22]; No[ w 19]; No; No
css-fonts-3; font-feature-settings; 10.0[ t 17]; 12; No[ w 20]; No; No; 
css-fonts-3; font-kerning; 34.0[ 1] [ g 23]; No; No; No; No; 
css-fonts-3; font-language-override; 34.0[ 1] [ g 23]; No; No; No; No; 
css-fonts-3; font-synthesis; 34.0[ 1] [ g 23]; No; No; No; No; 
css-fonts-3; font-variant-alternates; 34.0[ 1] [ g 23]; No; No; 
css-fonts-3; No; 34.0[ 1] [ g 23]; No; No; font-variant-caps; 
css-fonts-3; No; 34.0[ 1] [ g 23]; No; No; font-variant-east-asian; 
css-fonts-3; No; 34.0[ 1] [ g 23]; No; No; font-variant-ligatures; 
css-fonts-3; No; 34.0[ 1] [ g 23]; No; No; font-variant-numeric; 
css-fonts-3; No; 34.0[ 1] [ g 23]; No; No; font-variant-position; 
css-fonts-3; unicode-range; 9.0[ t 18]; 12; 38.0[ g 24]; No; No; No
Text; Text; Text; Text; Text; Text; Text; Text
CSS2; text-align; 4.0; 12; 1.0; 85; Yes; 1.0
CSS2; text-decoration; Yes; 12; 1.0; 85; Yes; 1.0
CSS2; text-indent; 3.0; 12; 1.0; 85; Yes; 1.0
CSS2; text-transform; 4.0; 12; 1.0; 85; Yes; 1.0
CSS2; letter-spacing; 4.0; 12; 1.0; 85; Yes; 1.0
CSS2; word-spacing; 8.0; 12; 1.0; 85; Yes; 1.0
CSS2; white-space; 8.0; 12; 1.9.1; 522; Yes; 2.1
css-text-3; word-break; Partial; Partial; 15.0[ g 25]; No; No; No
css-text-3; line-break; 11.0; 12; No; No; No; No
css-text-3; hyphens; 10.0[ t 19]; 12; 6.0[ g 26]; Experimental; No; No
css-text-3; word-wrap; 5.0; 12; 1.9.1; 85; 4.3; 2.5
css-text-3; overflow-wrap; No; No; No[ g 27]; No; No; No
css-text-3; text-align-last; Partial; Partial; 12.0[ g 28]; No[ w 21]; No; No
css-text-3; text-justify; 5.5; 12; No[ g 29]; No; No; No
css-text-3; text-emphasis; No; No; No; No; No; No
css-text-3; hanging-punctuation; No; No; No; No[ w 22]; No; No
Early ideas for css- text-4; hyphenate-character; No; No; No; No; No; No
Early ideas for css- text-4; hyphenate-limit-zone; 10.0[ t 20]; 12; No; No; No; No
Early ideas for css- text-4; hyphenate-limit-chars; 10.0[ t 21]; 12; No; No; No; No
Early ideas for css- text-4; hyphenate-limit-lines; 10.0[ t 22]; 12; No; No; No; No
Early ideas for css- text-4; hyphenate-limit-last; No; No; No; No; No
Early ideas for css- text-4; No; No; text-space-collapse; No; No; No; No
Early ideas for css- text-4; No; No; text-spacing; No; No; No; No
Early ideas for css- text-4; No; No; text-wrap; No; No; No; No
Text Decoration; Text Decoration; Text Decoration; Text Decoration; Text Decoration; Text Decoration; Text Decoration; Text Decoration
css-text- decor-3; text-shadow; 10.0[ t 23]; 12; 1.9.1; Yes; 3.4; 2.1
css-text- decor-3; text-decoration-style; No; No; No[ w 23]; No; No; 
css-text- decor-3; text-decoration-color; No; 36.0[ g 30] [ g 31]; No[ w 23]; No; No; No
css-text- decor-3; text-decoration-line; No; 36.0[ g 30] [ g 31]; No[ w 23]; No; No; No
css-text- decor-3; text-decoration-skip; No; No; No[ w 23]; No; No; No
css-text- decor-3; text-underline-position; 11.0; 12; No; No; No; No
css-text- decor-3; text-emphasis-style; No; No; No; No; No; 
css-text- decor-3; No; No; No; No; No; No; text-emphasis-color
css-text- decor-3; No; No; No; No; No; No; text-emphasis
css-text- decor-3; No; No; No; No; No; No; text-emphasis-position
; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
Writing Modes; Writing Modes; Writing Modes; Writing Modes; Writing Modes; Writing Modes; Writing Modes; Writing Modes
CSS2; direction; 5.0; 12; 1.0; 85; Yes; 1.0
CSS2; unicode-bidi; 5.0; 12; 1.0; 525; Yes; 1.0
css- writing- modes-3; writing-mode; 7.0[ t 24]; 12; No[ g 32]; Nightly Build[ w 24]; No; No
css- writing- modes-3; text-combine-horizontal; 11.0[ t 25]; 12.0; No; No; No; No
css- writing- modes-3; text-orientation; No; No; No; No; No; No
Tables; Tables; Tables; Tables; Tables; Tables; Tables; Tables
CSS2; border-collapse; 8.0; 12; 1.0; 125; Yes; 1.0
