Country; Unamanned rendezvous; Unamanned rendezvous; Manned rendezvous; Manned rendezvous
Country; Spacecraft involved; Year; Spacecraft involved; Year
  China; Shenzhou 8 & Tiangong 1; 2011; Shenzhou 9 & Tiangong 1; 2012
  India; SPADEX; 2020 (Planned); ; 
