Model; Launch; Code name; Fab (nm); Bus interface; Core config1; Clock speed; Clock speed; Clock speed; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Supported API version; Supported API version; Processing power (GFLOPS)2; TBP (Watts); Notes
Model; Launch; Code name; Fab (nm); Bus interface; Core config1; Core (MHz); Shader (MHz); Memory (MT/s); Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Processing power (GFLOPS)2; TBP (Watts); Notes
GeForce 710M; January 2013; GF117; 28; PCIe 2.0 ×16; 96:16:4; 800; 1600; 1800; 3.2; 12.8; 1024 2048; 14.4; DDR3; 64; 12; 4.5; 307.2; 12; OEM. About 115% of Mobile 620 & Desktop 530[ original research?]
GeForce GT 720M; April 1, 2013; GF117; 28; PCIe 2.0 ×16; 96:16:4; 938; 1876; 3.8; 15.0; 16.0; 360.19; ?; DDR3; 64; 12; 4.5; OEM. About 130% of Mobile 625/630 & Desktop 620[ original research?]; 
GeForce GT 720M; December 25, 2013; GK208; 28; PCIe 2.0 x8; 2000; 192:16:8; 719; 2048; 719; 3.032; 12.13; 12.8; DDR3; 64; 12; 4.5; 291; 22; Kepler, similar to 730M with half of the cores disabled
GeForce GT 730M; January 2013; GK208; 28; PCIe 3.0 ×8; 2000; 719; 719; 2048; 5.8; 23.0; 128; 552.2; DDR3; 33; 12; 4.5; Kepler, similar to Desktop GT640; 
GeForce GT 735M; April 1, 2013; GK208; 28; PCIe 3.0 ×8; 2000; 889; 889; 2048; 7.11; 16.0; 28.4; 682.8; DDR3; Kepler, similar to Desktop GT640; 12; 4.5; 
GeForce GT 740M; April 1, 2013; GK208; 28; PCIe 3.0 ×8; 384:32:8 (2 SMX); 64; 980; 2048; ?; 980; 1800; 7.84; DDR3; 31.4; 12; 4.5; 14.4; 752.6; Kepler, similar to Desktop GT640.
GeForce GT 740M; April 1, 2013; GK107; 28; PCIe 3.0 ×16; 384:32:16 (2 SMX); 810[ 124]; 810[ 124]; 1800 5000; 12.96; 25.92; 2048[ 124]; 28.8 80; DDR3 GDDR5[ 124]; 128; 12; 4.5; 622.1; about 76% of Desktop GTX650[ original research?]; 
GeForce GT 745M; April 1, 2013; GK107; 28; PCIe 3.0 ×16; 384:32:16 (2 SMX); 837; 837; 13.4; 26.8; 642.8; about 79% of Desktop GTX650[ original research?]; 128; 12; 4.5; 45; 
GeForce GT 750M; April 1, 2013; GK107; 28; PCIe 3.0 ×16; 384:32:16 (2 SMX); 967; 2048; 32 80; DDR3 GDDR5; 967; 15.5; 30.9; 742.7; 128; 12; 4.5; about 91% of Desktop GTX650[ original research?]; 
GeForce GT 755M [ 125]; ?; GK107; 28; PCIe 3.0 ×16; 384:32:16 (2 SMX); 50; 2048; 1020; 1020; 5400; 15.7; 31.4; 86.4; 128; 12; 4.5; 783; about 93% of Desktop GTX650[ original research?]; 
GeForce GTX 760M; May 2013; GK106; 28; PCIe 3.0 ×16; 719; 719; 2048; GDDR5; 10.5; 42.1; 64; 1104; 55; 128; 12; 4.5; about 71% of Desktop GTX 650Ti[ original research?]; 
GeForce GTX 765M; May 2013; GK106; 28; PCIe 3.0 ×16; 863; 863; 2048; GDDR5; 13.6; 54.4; 64; 1326; 65; 128; 12; 4.5; about 92% of Desktop GTX 650Ti[ original research?]; 
GeForce GTX 770M; May 2013; GK106; 28; PCIe 3.0 ×16; 960:80:24 (5 SMX); 19.5; 64.9; GDDR5; 3072; 96; 192; 1530; 75; about 83% of Desktop GTX660[ original research?]; 12; 4.5; 
GeForce GTX 780M; May 2013; GK104; 28; PCIe 3.0 ×16; 1536:128:32 (8 SMX); 5000; 26.3; GDDR5; 105.3; 4096; 160; 256; 2448; 122; 12; 4.5; about 78% of Desktop GTX770[ original research?]; 
Model; Launch; Code name; Fab (nm); Bus interface; Core config1; Clock speed; Clock speed; Clock speed; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Supported API version; Supported API version; Processing power (GFLOPS)2; TBP (Watts); Notes
Model; Launch; Code name; Fab (nm); Bus interface; Core config1; Core (MHz); Shader (MHz); Memory (MT/s); Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Processing power (GFLOPS)2; TBP (Watts); Notes
