; Austria; Belgium; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Italy; Luxembourg; Netherlands; Norway; Poland; Portugal; Romania; Russia & Belarus; Slovakia; Slovenia; Spain; Sweden; Switzerland & Liechtenstein; Turkey; Ukraine; United Kingdom
Road closed to all vehicles in both directions; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
No entry for vehicular traffic; ; ; ; ; ; ; ; ; ; ; ; (no exceptions) (with exceptions); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
No motor vehicles; ; NOT USED; ; ; ; ; ; ; ; ; ; ; NOT USED; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
No motor vehicles except motorcycles; ; ; ; NOT USED; ; NOT USED; NOT USED; ; ; ; ; NOT USED; ; ; ; NOT USED; ; ; ; NOT USED; ; ; ; ; ; ; NOT USED; 
No motorcycles; ; ; ; ; ; ; ; ; ; ; ; NOT USED; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
No bicycles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; [ note 8]; ; ; 
No pedestrians; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
No buses; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; NOT USED; ; ; ; ; ; ; ; 
No heavy goods vehicles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; or; ; ; ; ; ; ; [ note 9]; ; ; [ note 10]
No tractors; ; NOT USED; ; ; ; ; ; ; ; ; ; NOT USED; ; ; ; ; ; ; ; ; ; ; ; ; DISUSED; ; ; NOT USED
No trailers; ; ; ; ; ; ; ; or; ; ; ; ; ; ; ; ; ; or; ; ; ; or or; ; ; ; ; ; NOT USED
No horns or excessive motor noise; ; NOT USED; ; ; ; NOT USED; ; ; ; NOT USED; NOT USED; NOT USED; ; ; NOT USED; ; ; ; ; ; ; ; ; NOT USED; REPLACED by sign no. 4.14 [ note 11]; ; ; NOT USED
; Austria; Belgium; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Italy; Luxembourg; Netherlands; Norway; Poland; Portugal; Romania; Russia & Belarus; Slovakia; Slovenia; Spain; Sweden; Switzerland & Liechtenstein; Turkey; Ukraine; United Kingdom
No overtaking; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; or; ; ; ; ; ; ; ; ; ; 
No overtaking by heavy goods vehicles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; NOT USED
Maximum speed limit; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Speed limit zone; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; NOT USED; or; ; ; 
Maximum height; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maximum width; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maximum vehicle length; or; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; and
Maximum weight; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; or; ; ; ; ; ; ; ; ; ; ; ; 
Maximum weight per axle; ; NOT USED; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; NOT USED
Maximum weight per tandem axle; NOT USED; NOT USED; NOT USED; ; ; ; NOT USED; NOT USED; NOT USED; NOT USED; NOT USED; NOT USED; NOT USED; ; NOT USED; ; NOT USED; NOT USED; or; NOT USED; NOT USED; NOT USED; NOT USED; ; [ note 12]; NOT USED; NOT USED; NOT USED
; Austria; Belgium; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Iceland; Ireland; Italy; Luxembourg; Netherlands; Norway; Poland; Portugal; Romania; Russia & Belarus; Slovakia; Slovenia; Spain; Sweden; Switzerland & Liechtenstein; Turkey; Ukraine; United Kingdom
No vehicles carrying dangerous goods; ; or; ; ; ; ; ; ; ; ; ; NOT USED; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
No vehicles carrying dangerous water pollutants; ; ; ; NOT USED; NOT USED; NOT USED; ; ; ; ; ; NOT USED; ; ; NOT USED; ; ; ; NOT USED; ; ; ; NOT USED; ; ; ; NOT USED; 
No vehicles carrying explosives; NOT USED; ; NOT USED; NOT USED; NOT USED; NOT USED; ; ; ; ; NOT USED; ; ; NOT USED; NOT USED; ; ; ; ; ; NOT USED; ; ; ; ; ; ; 
