; ; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto; 
Element selectors[ spec 4]; Element selectors[ spec 4]; Element selectors[ spec 4]; Element selectors[ spec 4]; Element selectors[ spec 4]; Element selectors[ spec 4]; Element selectors[ spec 4]; Element selectors[ spec 4]; Element selectors[ spec 4]; Element selectors[ spec 4]; Element selectors[ spec 4]; Element selectors[ spec 4]
CSS2; *; Universal; 7.0; 12; 1.0; 85; Yes; 1.0; 
CSS2; E; Element; 4.0; 12; 1.0; 85; Yes; 1.0; 
CSS2; E.class; Class; 7.0; 12; 1.0; 85; Yes; 1.0; 
CSS2; E#id; ID; 4.0; 12; 1.0; 85; Yes; 1.0; 
selectors-3; ns|E; Namespaced; 9.0; 12; 1.0; Yes; Yes; 1.0; 
Relationship selectors; Relationship selectors; Relationship selectors; Relationship selectors; Relationship selectors; Relationship selectors; Relationship selectors; Relationship selectors; Relationship selectors; Relationship selectors; Relationship selectors; Relationship selectors
CSS2; E F; Descendant; 4.0; 12; 1.0; 85; Yes; 1.0; 
CSS2; E > F; Child; 7.0; 12; 1.0; 85; Yes; 1.0; 
CSS2; E + F; Direct adjacent; 7.0; 12; 1.0; 85; Yes; 1.0; 
selectors-3; E ~ F; Indirect adjacent; 7.0; 12; 1.7; 412; 3.3.2; 2.0; 
selectors-4; E /for/ F; Reference combinators; No; No; No; No; No; No; 
selectors-4; E! > F; Subject; No; No; No[ g 4]; No; No; No; 
selectors-4; F || E; Column relation; No; No; No; No; No; No; 
Attribute selectors; Attribute selectors; Attribute selectors; Attribute selectors; Attribute selectors; Attribute selectors; Attribute selectors; Attribute selectors; Attribute selectors; Attribute selectors; Attribute selectors; Attribute selectors
CSS2; E[attr]; Has; 7.0; 12; 1.0; 85; Yes; 1.0; 
CSS2; E[attr="value"]; Equals; 7.0; 12; 1.0; Yes; Yes; 1.0; 
CSS2; E[attr~="value"]; Contains (space-separated); 7.0; 12; 1.0; Yes; Yes; 1.0; 
CSS2; E[attr|="value"]; Contains (hyphen-separated); 7.0; 12; 1.0; Yes; Yes; 1.0; 
selectors-3; E[attr^="value"]; Begins with; 7.0; 12; 1.0; Yes; 3.4; 1.0; 
selectors-3; E[attr$="value"]; Ends with; 7.0; 12; 1.0; Yes; 3.4; 
selectors-3; E[attr*="value"]; Contains substring; 7.0; 12; 1.0; Yes; 2.0; 3.4; 
selectors-3; E[ns|attr]; Namespaced; 7.0; 12; 1.0; Yes; 2.0; 3.4; 
selectors-4; E[foo="bar" i]; Case-sensitivity; No; No; No; No; No; No; 
Pseudo-classes; Pseudo-classes; Pseudo-classes; Pseudo-classes; Pseudo-classes; Pseudo-classes; Pseudo-classes; Pseudo-classes; Pseudo-classes; Pseudo-classes; Pseudo-classes; Pseudo-classes
CSS2; E:link; Unvisited hyperlink; 3.0; 12; 1.0; 85; Yes; 1.0; 
CSS2; E:visited; Visited hyperlink; 3.0; 12; 1.0; 85; Yes; 1.0; 
