Model; Code name; Fab (nm); Bus interface; Core clock (MHz); Shader clock (MHz); Memory clock (MHz); Core config12; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Processing power (GFLOPS); Supported API version; Supported API version; TBP (Watts); Notes
Model; Code name; Fab (nm); Bus interface; Core clock (MHz); Shader clock (MHz); Memory clock (MHz); Core config12; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Single precision; Direct3D; OpenGL; TBP (Watts); Notes
Quadro NVS 110M; G72M; 90; PCIe 1.0 ×16; 300; 300; 600; 3:4:4:2; 0.6; 1.2; Up to 512; 4.8; DDR; 64; ; 9.0c; 2.1; 10; 
Quadro NVS 120M; G72GLM; 90; PCIe 1.0 ×16; 450; 450; 0.9; 3:4:4:2; 1.8; 5.6; Up to 512; 9.0c; 2.1; 64; ; 10; 
Quadro NVS 130M; G86M; 80; PCIe 2.0 ×16; 700; 400?; 800?; 8:4:4; DDR2; 1.6?; 1.6?; 6.4?; 19.2; 64; 3.3; 10; 
Quadro NVS 135M; G86M; 80; PCIe 2.0 ×16; 800; 1188; 16:8:4; 1.6; 3.2; Up to 256; 9.504; 38.4; 10.0; 64; 3.3; 10; 
Quadro NVS 140M; G86M; 80; PCIe 2.0 ×16; 800; 1200; 16:8:4; 1.6; 3.2; Up to 512; GDDR3; 9.6; 10.0; 64; 3.3; 38.4; 10; 
Quadro NVS 150M; G98M; 65; PCIe 2.0 ×16; 530; 1300; 8:4:4; 2.12; 2.12; Up to 256; GDDR3; 11.2; 10.0; 64; 3.3; 31.2; 10; 
Quadro NVS 160M; G98M; 65; PCIe 2.0 ×16; 580; 1400; 1450; 2.12; 8:8:4; 4.24; GDDR3; 11.2; 10.0; 64; 3.3; 256; 34.8; 12; 
Quadro NVS 300M; G72GLM; 90; PCIe 1.0 ×16; 450; 450; 1000; 3:4:4:2; 0.9; 1.8; Up to 512; 8; DDR2; 64; ; 9.0c; 2.1; 16; 
Quadro NVS 320M; G84M; 65; PCIe 2.0 ×16; 575; 1150; 1400; 32:16:8; 4.6; 9.2; Up to 512; 22.4; 128; 110.4; 10.0; 3.3; 20; 
Quadro NVS 510M; G72GLM; 90; PCIe 1.0 ×16; 500; 500; 1200; 8:24:24:16; 8; 12; Up to 1024; GDDR3; 38.4; 256; ; 9.0c; 2.1; 45?; based on Go 7900 GTX
