Model; Launch; Micro-archi-tecture; Core; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Processing power (GFLOPS); API compliance (version); API compliance (version); API compliance (version); Notes
Model; Launch; Micro-archi-tecture; Core; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Core config; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Single precision; Direct3D; OpenGL; Vulkan; Notes
FireGL 8700; 2001; R200; Radeon 8500; 150; AGP; 250; 270; 2:4:8:41; 1; 2; 64; 8.64; DDR; 64 × 2; Unknown; 8.1; 1.4; N/A; 
FireGL 8800; 2001; R200; Radeon 8500; 150; AGP; 300; 290; 2:4:8:41; 1.2; 2.4; 128; 9.28; DDR; 64 × 2; Unknown; 8.1; 1.4; N/A; 
FireGL T2-64; 2003; R300; Radeon 9600 Pro; 130; AGP; 325; 200; 1.3; 1.3; 64; 6.4; 128; DDR; Unknown; 2.0; N/A; 
FireGL T2-128; 2003; R300; Radeon 9600 Pro; 130; AGP; 400; 2:4:4:41; 320; 1.6; 1.6; 10.2; 128; DDR; 9.0; 2.0; Unknown; N/A; 
FireGL Z1-128; 2002; R300; Radeon 9500 Pro; 325; AGP; 128; 4:4:4:41; 1.3; 1.3; 19.8; 256; Unknown; DDR; 9.0; 2.0; N/A; 
FireGL X1-128; 2002; R300; 150; 325; AGP; 128; Radeon 9700; Unknown; 19.8; 256; DDR; 9.0; 2.0; N/A; 
FireGL X1-256; 2002; R300; 150; Radeon 9700 Pro; 2.6; 310; AGP Pro; 325; Unknown; 19.8; 256; DDR; 9.0; 2.0; N/A; 
FireGL X2-256; 2003; R300; 150; Radeon 9800 Pro; 256; 380; 350; 3.04; 3.04; 22.4; 256; Unknown; 9.0; 2.0; N/A; 
FireGL X2-256T; 2003; R300; 150; AGP; 256; Radeon 9800 XT; 412; 344; 3.3; DDR2; 256; 3.3; 22.0; 9.0; 2.0; Unknown; N/A; 
FireGL X3-256; 2004; R300; Radeon X800 XT; AGP; 256; 130; 450; 450; 6:12:12:121; 5.4; 256; 5.4; 28.8; GDDR3; 2.0; Unknown; 9.0b; N/A; 
FireGL V3100; 2005; R300; Radeon X300 XT; 110; 400; 200; 2:4:4:41; 1.6; 1.6; 128; 6.4; DDR; 128; Unknown; 2.0; 9.0; N/A; 
FireGL V3200; 2005; R300; Radeon X600 XT; PCIe x16; 130; 500; 2:4:4:41; 2; 2; 128; 12.8; DDR2; 128; Unknown; 2.0; 9.0b; N/A; 
FireGL V3300; 2006; R500; Radeon 1300 Pro; PCIe x16; 400; 600; 2:4:4:41; 2.4; 2.4; 128; 6.4; GDDR2; 64; Unknown; 2.0; 9.0c; N/A; 
FireGL V3350; 2006; R500; Radeon 1300 Pro; PCIe x16; 400; 600; 2:4:4:41; 2.4; 2.4; 256; 6.4; GDDR2; 64; Unknown; 2.0; 9.0c; N/A; 
FireGL V3400; 2006; R500; Radeon 1600 Pro/XT; PCIe x16; 90; 500; 500; 5:12:4:41; 2; 2; 128; Unknown; 2.0; 9.0c; N/A; 
FireGL V3600[ 198]; 2007; Tera-Scale 1; RV630 GL, HD 2600 Pro; PCIe x16; 65; 600; 500; 16.0; GDDR3; 128; 1202(24×5):8:4:3; 2.4; 4.8; 256; 144; 10; 3.3; N/A; Shader Model 4.0, APP Stream
FireGL V5000; 2005; R400; Radeon X700 Pro/XT; PCIe x16; 130; 425; 430; 6:8:8:81; GDDR3; 128; 3.4; 3.4; 13.6; Unknown; 2.0; ; N/A; 
FireGL V5100; 2005; R400; Radeon X800 Pro; PCIe x16; 130; 450; 350; 6:12:12:121; 5.4; 5.4; 128; 22.4; DDR; 9.0b; 2.0; ; 256; N/A; Unknown
FireGL V5200; 2005; R500; Radeon X1600 XT; PCIe x16; 90; 600; 700; 5:12:4:41; 2.4; 2.4; 256; 22.4; GDDR3; Unknown; 2.0; ; 9.0c; N/A; 
FireGL V5600[ 199]; 2007; Tera-Scale 1; R630 GL, HD 2600 XT; 65; PCIe; 800; 1100; 1202(24×5):8:4:3; 3.2; 6.4; 512; 128; 35.2; GDDR4; 192; 10; 3.3; N/A; Shader Model 4.0, APP Stream
FireGL V7100; 2005; R400; Radeon X800 XT; 130; PCIe; 500; 450; 8; 8; 256; 28.8; GDDR3; 256; Unknown; 9.0c; 2.0; ; N/A; 
FireGL V7200; 2006; R500; Radeon X1800 XT; 90; PCIe x16; 600; 6:16:16:161; 650; 9.6; 256; 9.6; GDDR3; 256; Unknown; 9.0c; 2.0; ; N/A; 
FireGL V7300[ 200]; 2006; R500; PCIe; 90; 512; 600; 6:16:16:161; 650; 9.6; Unknown; 9.6; GDDR3; 256; 9.0c; 2.0; ; N/A; 
FireGL V7350[ 201]; 2006; R500; PCIe; 90; 1024; 600; 6:16:16:161; 650; 9.6; Unknown; 9.6; GDDR3; 256; 9.0c; 2.0; ; N/A; 
FireGL V7400; 2006 (Canceled); R500; PCIe; Radeon X1950 Pro; 550?; 650?; 8:36:16:161; 19.8?; 19.8?; 512?; 41.6?; GDDR3; 256; Unknown; 9.0c; 2.0; never released, superseded by 2007 series; N/A; 
FireGL V7600[ 202]; 2007; Tera-Scale 1; PCIe; 80; R600 GL, HD 2900 GT; 600; 800; 2402(48×5):12:12:3; 9.6; 9.6; 51.2; GDDR3; 256; 288; 10; Shader Model 4.0, APP Stream; N/A; 
FireGL V7700[ 203]; 2007 (2008); Tera-Scale 1; R670 GL, HD 3870; 55; PCIe 2.0; 775; 1125; 3202(64×5):16:16:4; 512; 12.4; 12.4; 72; 256; 3.3; 496; 10.1 (SM4.1); DisplayPort. Can do double precision computation via the AMD Stream SDK.; N/A; 
FireGL V8600[ 204]; 2007; Tera-Scale 1; R600 GL, HD 2900 XT; 80; PCIe; 688; 868; 3202(64×5):16:16:4; 11.01; 11.01; GDDR4; 1024; 111.1[ 205]; 3.3; 440.32; 10; Shader Model 4.0, APP Stream; N/A; 
FireGL V8650[ 206]; 2007; Tera-Scale 1; R600 GL, HD 2900 XT; 80; PCIe; 688; 868; 3202(64×5):16:16:4; 11.01; 11.01; GDDR4; 2048; 111.1; 3.3; 440.32; 10; Shader Model 4.0, APP Stream; N/A; 
