css-values-3; rad; Radian; 9.0[ t 1]; 12; 1.9.1; Yes; Yes; 2.5
css-values-3; turn; turn; 9.0[ t 1]; 12; 13.0[ g 65]; No; No; No
css-values-3; ms; Millisecond; 9.0[ t 1]; 12; Yes; 2.5; 
css-values-3; s; 2.0[ g 66]; 9.0[ t 1]; 12; Yes; 2.5; Second; 
css-values-3; Hz; Hertz; Yes; Yes; No; No; 
css-values-3; kHz; No; Kilohertz; Yes; Yes; No; No; 
css-values-3; dpi; No; Dots per inch; 1.9.1; No; 4.1; 2.5; 
css-values-3; dpcm; No; 12; 1.9.1; No; 4.1; 2.5; Dots per centimetre
css-values-3; dppx; No; 12; Dots per pixel-unit; 16.0; No; ?; No
earlier draft of css-line- grid-1; gd; No; Cells in the layout-grid; No; No; No; No; No
unit being considered for css- template- 3; fr; No; Remaining space in a series of length values; No; No; No; No; 
css-values-3; rem; the font size of the root element; 12; 9.0[ t 1]; 1.9.2; Yes; No; 2.10.229[ p 7]
css-values-3; vw; the viewport's width; 12; 9.0[ t 1]; No; No; 
css-values-3; vh; 19.0[ g 3]; 12; 9.0[ t 1]; No; No; the viewport's height; 
css-values-3; vmin; 19.0[ g 3]; 12; 28.0[ w 37]; No; No; equal to the smaller of ‘vw’ or ‘vh’.; 
css-values-3; vmax; 19.0[ g 3]; 12; 28.0[ w 37]; No; No; equal to the larger of ‘vw’ or ‘vh’.; 
css-values-3; ch; the width of the "0" (ZERO, U+0030) glyph found in the font for the font size used to render.; 12; No; 1.9.1; No; No; No
Filter Effects; Filter Effects; Filter Effects; Filter Effects; Filter Effects; Filter Effects; Filter Effects; Filter Effects; Filter Effects
filter- effects; 
filter- effects; grayscale(); ; 13; 35.0[ g 67]; 18.0[ w 38]; No; No; 
filter- effects; sepia(); No; 13; 35.0[ g 67]; 18.0[ w 38]; No; No; 
filter- effects; saturate(); No; 13; 35.0[ g 67]; 18.0[ w 38]; No; No; 
filter- effects; hue-rotate(); No; 13; 35.0[ g 67]; 18.0[ w 38]; No; No; 
filter- effects; invert(); No; 13; 35.0[ g 67]; 18.0[ w 38]; No; No; 
filter- effects; opacity(); No; 13; 35.0[ g 67]; 18.0[ w 38]; No; No; 
filter- effects; brightness(); No; 13; 35.0[ g 67]; 18.0[ w 38]; No; No; 
filter- effects; contrast(); No; 13; 35.0[ g 67]; 18.0[ w 38]; No; No; 
filter- effects; blur(); No; 13; 35.0[ g 67]; 18.0[ w 38]; No; No; 
filter- effects; drop-shadow(); No; 13; 35.0[ g 67]; 18.0[ w 38]; No; No; 
filter- effects; Variables; Variables; Variables; Variables; Variables; Variables; Variables; Variables
css- variables- 1; 
css- variables- 1; --*; define variable; No; 31.0[ g 68]; Experimental [ citation needed]; No; No; 
css- variables- 1; var(--*); No; No; 31.0[ g 68]; Experimental [ citation needed]; No; No; use variable
; ; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
