Model; Code name; Fab (nm); Bus interface; Core clock (MHz); Shader clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Processing power (GFLOPS)[ 199] [ 200]; Processing power (GFLOPS)[ 199] [ 200]; Supported API version; Supported API version; TBP (Watts); Notes
Model; Code name; Fab (nm); Bus interface; Core clock (MHz); Shader clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Single precision; Double precision; Direct3D; OpenGL; TBP (Watts); Notes
Quadro FX 380; G96; 65; PCIe 2.0 ×16; 450; 1100; 1400; 16:8:8; 3.6; 3.6; 256; 22.4; GDDR3; 128; 52.8; -; 10.0; 3.3; 34; Two Dual Link DVI, no DisplayPort
Quadro FX 380 LP; GT218GL; 40; PCIe 2.0 ×16; 589; 1402; 16:8:4; 2.356; 4.712; 512; 12.8; 64; GDDR3; 67.296; 10.1; -; 28; 3.3; DisplayPort, Dual Link DVI; 
Quadro FX 580; G96; 65; PCIe 2.0 ×16; 450; 1600; 1125; 32:16:8; 3.6; 512; 7.2; 25.6; GDDR3; 128; 108; -; 40; 3.3; Dual DisplayPort, Dual Link DVI; 
Quadro FX 1800; G100GL-U(G94); 65; PCIe 2.0 ×16; 550; 1600; 1375; 64:32:12; 6.6; 17.6; 768; 10.0; GDDR3; 38.4; 192; -; 264; 3.3; 59; 
Quadro FX 3800; GT200GL; 55; PCIe 2.0 ×16; 602; 1600; 1204; 192:64:16; 9.632; 38.528; 1024; 10.0; GDDR3; Stereo DP Dual Link DVI, Dual DisplayPort, SLI; 51.2; 256; 108; 3.3; 
Quadro FX 4800; GT200GL; 55; PCIe 2.0 ×16; 602; 1600; 1204; 192:64:24; 14.448; 38.528; 1536; 10.0; GDDR3; Stereo DP Dual Link DVI, Dual DisplayPort, SLI; 86.688; 76.8; 384; 3.3; 150; 
Quadro FX 5800; GT200GL; 55; PCIe 2.0 ×16; 648; 1600; 1296; 240:80:32; 20.736; 51.840; 4096; 102.4; GDDR3; Stereo DP Dual Link DVI, Dual DisplayPort, SLI; 512; 933.12; 116.64; 3.3; 10.1; 189
Quadro CX[ 201]; GT200GL; 55; PCIe 2.0 ×16; 602; 1600; 1204; 192:64:24; 14.448; 38.528; 1536; 76.8; GDDR3; 384; 693.504; 86.688; 10.0; 3.3; 150; Display Port and dual-link DVI Output, optimised for Adobe Creative Suite 4
