Model; Launch; Code name; Fab (nm)[ 2]; Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Supported API version; Supported API version
Model; Launch; Code name; Fab (nm)[ 2]; Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL
GeForce4 MX IGP + nForce2; October 1, 2002; NV1F; TSMC 150  nm; FSB; 250; 133 200[ citation needed]; 2:0:4:2; 500; 500; 1000; 0; Up to 128 system RAM; 2.128 6.4[ citation needed]; DDR; 64 128; 7.0; 1.2
GeForce4 MX420; February 6, 2002; NV17; TSMC 150  nm; AGP 4× PCI; 250; 166; 2:0:4:2; 500; 500; 1000; 0; 64; 2.656; SDR; 7.0; 1.2
GeForce4 MX440 SE; 2002; NV17; TSMC 150  nm; AGP 4× PCI; 250; 166; 2:0:4:2; 500; 500; 1000; 0; 5.312; 7.0; 1.2
GeForce MX4000; December 14, 2003; TSMC 150  nm; AGP 8× PCI; 250; 166; 2:0:4:2; 500; 500; 1000; 0; 2.656; 7.0; 1.2
GeForce PCX4300; February 19, 2004; PCIe ×16; TSMC 150  nm; 333; 250; DDR; 2:0:4:2; 500; 500; 1000; 0; 128; 5.328; 7.0; 1.2
GeForce4 MX440; February 6, 2002; NV17; TSMC 150  nm; AGP 4× PCI; 200; DDR; 2:0:4:2; 550; 1100; 64 128; 0; 6.4; 7.0; 1.2
GeForce4 MX440 8x; September 25, 2002; NV18; TSMC 150  nm; 275; AGP 8× PCI; DDR; 2:0:4:2; 550; 1100; 64 128; 0; 128; 250; 7.0; 1.2
GeForce4 MX460; February 6, 2002; NV17; TSMC 150  nm; AGP 4× PCI; 300; DDR; 2:0:4:2; 275; 600; 64 128; 0; 128; 600; 1200; 7.0; 1.2
GeForce4 Ti4200; April 16, 2002; NV25; TSMC 150  nm; AGP 4×; DDR; 222 (128 MB) 250 (64 MB); 4:2:8:4; 1000; 64 128; 1000; 128; 2000; 125; 7.104 (128 MB) 8 (64 MB); 8.0a; 1.3
GeForce4 Ti4200 8x; September 25, 2002; NV28; TSMC 150  nm; AGP 8×; 250; DDR; 8; 4:2:8:4; 1000; 1000; 128; 2000; 125; 8.0a; 1.3
GeForce4 Ti4400; February 6, 2002; NV25; TSMC 150  nm; AGP 4×; DDR; 1100; 4:2:8:4; 1100; 2200; 137.5; 128; 8.8; 8.0a; 1.3
GeForce4 Ti4400 8x (Ti4800SE2); January 20, 2003; NV28; TSMC 150  nm; 275; AGP 8×; DDR; 1100; 4:2:8:4; 1100; 2200; 137.5; 128; 8.8; 8.0a; 1.3
GeForce4 Ti4600; February 6, 2002; NV25; TSMC 150  nm; AGP 4×; DDR; 1200; 4:2:8:4; 1200; 2400; 150; 128; 10.4; 8.0a; 1.3
GeForce4 Ti4600 8x (Ti48003); January 20, 2003; NV28; TSMC 150  nm; 300; AGP 8×; DDR; 1200; 4:2:8:4; 1200; 2400; 150; 128; 10.4; 8.0a; 1.3
Model; Launch; Code name; Fab (nm)[ 2]; Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Supported API version; Supported API version
Model; Launch; Code name; Fab (nm)[ 2]; Bus interface; Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL
