Model; Code name; Fab (nm); Bus interface; Core clock (MHz); Shader clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Processing power (GFLOPS); Supported API version; Supported API version; TBP (Watts)
Model; Code name; Fab (nm); Bus interface; Core clock (MHz); Shader clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Single precision; Direct3D; OpenGL; TBP (Watts)
Quadro FX 370M; G98M; 65; PCIe 1.0 ×16; 550; 1400; 1200; 8:4:4; 2.2; 2.2; 256; 9.6; GDDR3; 64; 33.6; 10.0; 3.3; 20
Quadro FX 570M; G84M; 80; PCIe 1.0 ×16; 475; 950; 1400; 3.8; 7.6; 512; 22.4; 128; GDDR3; 91.2; 45; 10.0; 3.3; 
Quadro FX 770M; G96M; 65; PCIe 1.0 ×16; 500; 1250; 32:16:8; 4; 8; 512; 119.0; 128; GDDR3; 35; 10.0; 3.3; 
Quadro FX 1700M; G96M; 65; PCIe 1.0 ×16; 625; 1600; 32:16:8; 1550; 25.6; 512; 5; 128; GDDR3; 10; 148.8; 10.0; 3.3; 50
Quadro FX 2700M; G94M; 65; PCIe 1.0 ×16; 1325; 1600; 48:24:16; 8.48; 12.72; 512; 256; 190.8; GDDR3; 65; 10.0; 3.3; 
Quadro FX 3700M; G92M; 65; PCIe 1.0 ×16; 1375; 1600; 128:64:16; 8.8; 51.2; 35.2; 256; 1024; GDDR3; 528; 75; 10.0; 3.3; 
