Model; Launch; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Hardware T& L; Core config1; Fillrate; Fillrate; Memory; Memory; Memory; Memory; API compliance (version); API compliance (version); Notes
Model; Launch; Fab (nm); Bus interface; Core clock (MHz); Memory clock (MHz); Hardware T& L; Core config1; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Direct3D; OpenGL; Notes
Rage LT (Rage II); Nov 1996; 500; PCI; 60; 66; No; 0:1:1:1; 0.06; 0.06; 4; 0.53; EDO, SDR, SGR; 64; 5; N/A; 
Rage LT Pro (Rage Pro); Nov 1997; 350; AGP, PCI; 75; 100; No; 0:1:1:1; 0.075; 0.075; 0.80; 6; EDO, SDR, SGR; 64; 1.1; Motion Compensation; 
Rage Mobility M/P (Rage 128); Nov 1998; 250; AGP, PCI; 90; Unknown; No; 0.18; 8; 0.18; Unknown; SDR, SGR; Unknown; 64; Unknown; M had 4  MB of integrated SDRAM, P had none. IDCT, Motion Compensation.; 
Rage Mobility M1 (Rage 128); Feb 1999; 250; AGP, PCI; 90; 0:2:2:2; No; 0.18; 8; 0.18; 90; 0.72; M1 had 8  MB of integrated SDRAM, P had none. IDCT, Motion Compensation.; 64; 
Rage 128 GL; Aug 1998; 250; AGP, PCI; 103; 0:2:2:2; No; 6; 103; 1.2; 0.206; 0.206; 32; 1.65; ; 
Rage Mobility 128 (Rage 128 Pro); Oct 1999; 250; AGP, PCI; 105; 0:2:2:2; No; 6; 0.21; 1.2; 2.28; IDCT, Motion Compensation; 
Rage Mobility M3 (AGP 4x) (Rage 128 Pro); Oct 1999; 250; AGP, PCI; 105; 0:2:2:2; No; 6; 0.21; 1.2; 2.28; M3 had 8  MB of integrated SDRAM, IDCT, Motion Compensation.; 
Rage Mobility M4 (AGP 4x) (Rage 128 Pro); Oct 1999; 250; AGP, PCI; 105; 0:2:2:2; No; 6; 0.21; 1.2; 32; 2.28; M4 had 16  MB of integrated SDRAM, IDCT, Motion Compensation.; 
