Model; Launch; Code name; Fab (nm); Core clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Fillrate; Fillrate; Memory; Memory; Memory; Memory
Model; Launch; Code name; Fab (nm); Core clock (MHz); Memory clock (MHz); Core config1; MOperations/s; MPixels/s; MTexels/s; MVertices/s; Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit)
Radeon X700; March 2005; RV410 (alto); 110; 400; 350; 8:6:8:8; 3200; 3200; 3200; 600; 128, 256; 11.2; DDR; 128
Radeon X700 Pro; March 1, 2005; RV410 (alto); 110; 432; 3400; 8:6:8:8; 3400; 637.5; 13.824; GDDR3; 128, 256; 128
Radeon X800 SE; Oct. 2004; 425; 130; 3400; 8:6:8:8; 3400; 637.5; 400; GDDR3; 6800; 25.6; 
Radeon X800 GT; Dec. 6, 2005; 475; R420 (loki); 130; 490; 8:6:8:16; 3800; 256; 7600; GDDR3; 256; 3800; 712.5; 31.36
Radeon X800; Dec. 2004; R430; 110; 400; 350; 12:6:12:16; 256; 6400; GDDR3; 256; 600; 22.4; 
Radeon X800 GTO; Dec. 6, 2005; R420 (loki); 130; 400; 490; 12:6:12:16; 31.36; 256; 6400; GDDR3; 256; 600; 
Radeon X800 Pro; May 5, 2004; R420 (loki); 130; 475; 450; 12:6:12:16; 5700; 256; 7600; GDDR3; 256; 5700; 712.5; 28.8
Radeon X800 XL; Feb. 2, 2005; R430; 110; 400; 490; 16:6:16:16; 6400; 256; 6400; GDDR3; 256; 6400; 600; 31.36
Radeon X800 XT; May 4, 2004; R420 (loki); 130; 500; 500; 16:6:16:16; 8000; 256; 8000; GDDR3; 256; 8000; 750; 32
Radeon X800 XT PE; May 4, 2004; R420 (loki); 130; 520; 560; 16:6:16:16; 8320; 256; 8320; GDDR3; 256; 8320; 780; 35.84
Radeon X850 Pro; Feb. 28, 2005; R481; 130; 507; 520; 16:6:16:16; 6084; 256; 8112; GDDR3; 256; 6084; 760.5; 33.28
Radeon X850 XT; Feb. 28, 2005; R481; 130; 520; 540; 16:6:16:16; 8320; 256; 8320; GDDR3; 256; 8320; 780; 34.56
Radeon X850 XT PE; Feb. 28, 2005; R481; 130; 540; 590; 16:6:16:16; 8640; 256; 8640; GDDR3; 256; 8640; 810; 37.76
