Model; Code name; Fab (nm); Bus interface; Core clock (MHz); Shader clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Processing power (GFLOPS)[ 199] [ 200]; Processing power (GFLOPS)[ 199] [ 200]; Supported API version; Supported API version; TBP (Watts); Notes
Model; Code name; Fab (nm); Bus interface; Core clock (MHz); Shader clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Single precision; Double precision; Direct3D; OpenGL; TBP (Watts); Notes
Quadro FX 350; G72GL; 90; PCIe ×16; 550; 550; 810; 3:4:4:2; 1.1; 1.1; 128; 6.48; DDR2; 64; ; ; 9.0c; 2.1; 21; 
Quadro FX 550; NV43GL; 90; PCIe ×16; 360; 360; 4:8:8:8; 2.88; 2.88; 12.8; 128; 128; 25; ; ; 9.0c; 2.1; 
Quadro FX 1500; G71; 90; PCIe ×16; 800; 375; 375; 7:20:20:16; 6; GDDR3; 7.5; 40.0; 65; ; ; 9.0c; 2.1; 
Quadro FX 3500; G71GL; 90; PCIe ×16; 470; 1320; 7:20:20:16; 256; 7.52; GDDR3; 256; 9.4; 42.2; 80; ; ; 9.0c; 2.1; 
Quadro FX 4500; G70; PCIe ×16; 470; 1050; 8:24:24:16; 11.28; 7.52; GDDR3; 256; 512; Stereo display, SLI; 109; ; ; 9.0c; 2.1; 
Quadro FX 4500X2; G70; 2× 8:24:24:16; PCIe ×16; 470; 1050; 15.04; 22.56; 1024; GDDR3; 256; 145; ; ; 9.0c; 2.1; 
Quadro FX 4500 SDI; G70; 8:24:24:16; PCIe ×16; 470; 1050; Stereo display, Genlock; 7.52; 11.28; GDDR3; 256; 512; 116; ; ; 9.0c; 2.1; 
Quadro FX 5500; 8:24:24:16; PCIe ×16; 90; 1050; 700; 11.2; 16.8; GDDR3; 256; 96; Stereo display, SLI, Genlock; ; ; 9.0c; 2.1; 
Quadro FX 5500 SDI; 104; 8:24:24:16; PCIe ×16; 90; 1050; 700; 11.2; 16.8; GDDR3; 256; Stereo display, SLI, Genlock; ; ; 9.0c; 2.1; 
