Model; Code name; Fab (nm); Bus interface; Core clock (MHz); Shader clock (MHz); Memory clock (MHz); Core config1; Fillrate; Fillrate; Memory; Memory; Memory; Memory; Processing power (GFLOPS); Supported API version; Supported API version; Nvidia Optimus technology; TBP (Watts)
Model; Code name; Fab (nm); Bus interface; Core clock (MHz); Shader clock (MHz); Memory clock (MHz); Core config1; Pixel (GP/s); Texture (GT/s); Size (MB); Bandwidth (GB/s); Bus type; Bus width (bit); Single precision; Direct3D; OpenGL; Nvidia Optimus technology; TBP (Watts)
Quadro M500M; GM108; 28; PCIe 3.0 ×16; ; ; 1253 (5012); 384:24:8 (3 SMM); ; ; 2048; 40.1; GDDR5; 64; ; 12.1; 4.5; Yes; 25
Quadro M600M; GM107; 28; PCIe 3.0 ×16; ; ; 1253 (5012); 384:24:16 (3 SMM); ; ; 2048; 30; GDDR5; ; 12.1; 4.5; Yes; 
Quadro M1000M; GM107; 28; PCIe 3.0 ×16; ; ; 1253 (5012); 512:32:16 (4 SMM); ; ; 2048; 40; GDDR5; ; 12.1; 4.5; Yes; 
Quadro M2000M; GM107; 28; PCIe 3.0 ×16; 80.2; 128; 1253 (5012); 1098; ; ; 1098; 640:40:16 (5 SMM); GDDR5; 1390; 55; 12.1; 4.5; Yes; 
Quadro M3000M; GM204; 28; PCIe 3.0 ×16; 4096; 1024:64:32 (8 SMM); 1253 (5012); 256; ; ; 75; GDDR5; 12.1; 4.5; Yes; 
Quadro M4000M; GM204; ; ; 4096; 160.4; 1253 (5012); 256; ; ; 1280:80:48 (10 SMM); GDDR5; 12.1; 4.5; Yes; 
Quadro M5000M; GM204; 28; PCIe 3.0 ×16; 962; 160.4; 1253 (5012); 256; 962; 1536:96:64 (12 SMM); 61.6; 92.4; GDDR5; 8192; 2955.3; 12.1; 4.5; Yes; 
